Dan1 sala55 sala56 sala57 sala59 sala65 sala310 sala311 sala312 sala313 sala314
T1 13С111П1 13С111П1 13С111П1 13С111П1 13С111П1 13С111П1 13С111П1 13С111П1 13С111П1 13С111П1
T2 X X X X X X X X X X
T3 X X X X X X X X X X
T4 X X X X X X X X X X
Dan2 sala55 sala56 sala57 sala59 sala65 sala310 sala311 sala312 sala313 sala314
T1 13С081М1 13С081М1 13С081М1 13С081М1 13С081М1 13С081М1 13С081М1 13С081М1 13С081М1 13С081М1
T2 X X X X X X X X X X
T3 X X X X X X X X X X
T4 X X X X X X X X X X
Dan3 sala55 sala56 sala57 sala59 sala65 sala310 sala311 sala312 sala313 sala314
T1 13С041ОЕ 13С041ОЕ 13С041ОЕ 13С041ОЕ 13С041ОЕ 13С041ОЕ 13С041ОЕ 13С041ОЕ 13С041ОЕ 13С041ОЕ
T2 X X X X X X X X X X
T3 X X X X X X X X X X
T4 X X X X X X X X X X
Dan4 sala55 sala56 sala57 sala59 sala65 sala310 sala311 sala312 sala313 sala314
T1 13С061Ф 13С061Ф 13С061Ф 13С061Ф 13С061Ф 13С061Ф 13С061Ф 13С061Ф 13С061Ф 13С061Ф
T2 X X X X X X X X X X
T3 X X X X X X X X X X
T4 X X X X X X X X X X
Dan5 sala55 sala56 sala57 sala59 sala65 sala310 sala311 sala312 sala313 sala314
T1 13Е082М3 13Е082М3 13Е082М3 13Е082М3 13Е082М3 13Е082М3 13Е082М3 13Е082М3 13Е082М3 13Е082М3
T2 X X X X X X X X X X
T3 X X X X X X X X X X
T4 X X X X X X X X X X
Dan6 sala55 sala56 sala57 sala59 sala65 sala310 sala311 sala312 sala313 sala314
T1 13С113ОС2 13Е042ЕЕ 13Е042ЕЕ 13Е042ЕЕ 13Е042ЕЕ 13Е042ЕЕ 13Е042ЕЕ 13Е042ЕЕ 13Е042ЕЕ 13С113ОС2
T2 X X X X X X X X X X
T3 X X X X X X X X X X
T4 X X X X X X X X X X
Dan7 sala55 sala56 sala57 sala59 sala65 sala310 sala311 sala312 sala313 sala314
T1 X 13Е112ОО1 13Е112ОО1 13Е112ОО1 13Е112ОО1 13Е112ОО1 13Е112ОО1 13Е112ОО1 13Е112ОО1 X
T2 X X X X X X X X X X
T3 X X X X X X X X X X
T4 X X X X X X X X X X
Dan8 sala55 sala56 sala57 sala59 sala65 sala310 sala311 sala312 sala313 sala314
T1 X 13Е042ОЕЛ 13Е054НМ 13Е054НМ 13Е042ОЕЛ 13С113ПС 13Е054НМ 13С113ПС 13С113ПС X
T2 X X X X X X X X X X
T3 X X X X X X X X X X
T4 X X X X X X X X X X
Dan9 sala55 sala56 sala57 sala59 sala65 sala310 sala311 sala312 sala313 sala314
T1 X 13С113ИС1 X X 13С113ИС1 13С113ИС1 X 13С113ИС1 13С113ИС1 X
T2 X X X X X X X X X X
T3 X X X X X X X X X X
T4 X X X X X X X X X X
Dan10 sala55 sala56 sala57 sala59 sala65 sala310 sala311 sala312 sala313 sala314
T1 X 13С113ИС 13Е114ИС 13Е114ИС 13С113ИС 13Е114ИС X 13Е114ИС 13Е114ИС X
T2 X X X X X X X X X X
T3 X X X X X X X X X X
T4 X X X X X X X X X X
Dan11 sala55 sala56 sala57 sala59 sala65 sala310 sala311 sala312 sala313 sala314
T1 13Е114МИПС 13Е114МИПС 13Е114МИПС 13Е114МИПС 13Е114МИПС 13Е114МИПС 13Е114МИПС 13Е114МИПС 13Е114МИПС 13Е114МИПС
T2 X X X X X X X X X X
T3 X X X X X X X X X X
T4 X X X X X X X X X X
Dan12 sala55 sala56 sala57 sala59 sala65 sala310 sala311 sala312 sala313 sala314
T1 13Е114ВЛСИ 13Е114ВЛСИ 13Е114ВЛСИ 13Е114ВЛСИ 13Е114ВЛСИ 13Е114ВЛСИ 13Е114ВЛСИ 13Е114ВЛСИ 13Е114ВЛСИ 13Е114ВЛСИ
T2 X X X X X X X X X X
T3 X X X X X X X X X X
T4 X X X X X X X X X X
